dem,dist_to_water,flow_acc,geom,lulc,ndwi,rain,runoff_coeff,slope,soilTx,soil_moisture,level
389.2500864476659,233.9663630876711,378.9638428635411,21.0,10.0,-0.3628786994272889,4.934835433959961,7.934595918296454,7.836489795741137,6.0,14.040412902832031,1
216.14382231679735,228.63783926291728,216.91409053891266,21.0,10.0,-0.2898436850040634,5.460621833801269,6.987364497299433,1.1868578451906036,6.0,13.482061386108398,1
261.4945870461498,148.75282753427356,258.8891849867381,24.0,10.0,-0.27548342313375207,5.524392127990723,7.585439938551476,0.41417173093773363,4.0,14.459595680236816,1
538.9015560579865,190.11542611303645,538.8792762452958,31.0,10.0,-0.33351840425130624,5.031759361155983,8.736459888333286,1.4266664118823278,4.0,13.878148078918457,1
533.7734273174625,222.15480727589915,536.3416295969482,21.0,10.0,-0.31274017441112595,5.0141167640686035,5.060780509861717,2.1519512746542904,4.0,13.208941459655762,1
280.1867003590903,210.6534299247568,277.25293674968725,34.0,10.0,-0.2594546660699652,5.585015296936035,6.789421626899082,0.7233213235317565,4.0,13.75680923461914,1
508.5662987099347,185.0318725120725,504.70019588072176,21.0,10.0,-0.39355626847772845,4.9802613258361825,5.370807840545412,2.9270196013635297,4.0,13.878148078918455,1
240.44689453384757,174.02279017059436,239.67089303208567,34.0,10.0,-0.30169316423923837,5.113445281982422,8.139286144399323,0.8547986832486615,4.0,13.44111919403076,1
339.6974331693045,218.30191932560817,332.53817243305895,31.0,30.0,-0.27253054037010405,5.154557228088379,12.137155135271792,1.8454812681568744,4.0,14.040412902832031,1
473.6116770847187,174.83227546828957,488.9013503730003,11.0,10.0,-0.4097396658668342,5.408580420768421,7.076773282743734,7.191933206859335,4.0,13.878148078918457,1
566.8138582258276,203.63609499166103,565.0993586040364,21.0,30.0,-0.3101439548689787,4.99595069885254,10.86336886413686,0.7337646260954923,4.0,13.878148078918457,1
333.0707540896396,231.6589036654159,335.67608956236654,31.0,10.0,-0.29303549651152155,5.066448211669922,5.666239751868578,1.2291716632199017,4.0,13.13895320892334,1
507.01367203085533,209.8074898230177,502.6905803345071,31.0,10.0,-0.3248343257324423,4.995950698852539,6.086344707746223,4.715861769365555,4.0,13.878148078918457,1
212.49902912621363,143.71145566876356,211.72960596826593,34.0,10.0,-0.30495176332192425,5.572513580322266,4.494531389543523,0.7363284738588072,4.0,14.240604400634766,1
540.1067695172229,189.83051845335766,537.1906468619339,31.0,10.0,-0.34178787453296045,4.980261325836182,4.831730563216638,1.579326408041593,4.0,13.878148078918457,1
353.9032850113049,223.17221545373178,357.1213511488672,31.0,10.0,-0.3426218030149607,4.934835433959961,9.176491273483421,5.538315562349618,4.0,14.040412902832031,1
515.9452054794522,228.12408493997566,512.2021030690352,21.0,10.0,-0.32258455190257107,5.008065700531006,8.751322679127792,2.596753299761054,4.0,13.13895320892334,1
337.5532118632797,207.15869232680134,327.14857139014106,31.0,40.0,-0.28689715230079677,5.154557228088379,13.581163958719328,0.8942584803865679,4.0,14.040412902832031,1
440.97294853038966,213.8482882596446,425.3082387890457,31.0,10.0,-0.35390636825406196,5.317964553833008,5.227436953020914,2.568592382552283,4.0,13.731599807739258,1
552.0308285676291,194.2199519046424,560.6588279986931,21.0,10.0,-0.3793989120883372,5.0859246253967285,6.219161911624658,5.047904779061645,4.0,13.878148078918457,1
364.5797313472538,209.45973314628824,364.8222179471188,21.0,10.0,-0.3730020619109363,5.027198791503906,7.789352609781853,6.609370352756139,4.0,13.731599807739258,1
267.4589706077934,188.94520565892202,265.4468218030598,24.0,40.0,-0.2884629877193255,5.417598724365234,9.528085047426133,0.6144006754873496,4.0,13.754331196824166,1
305.28474531187663,207.47878817638968,300.6651559295228,24.0,40.0,-0.2588346238259322,5.128495216369629,14.055743523575645,1.0325626924342621,6.0,13.75680923461914,1
279.7425987498337,187.14096082834158,275.32904702699125,21.0,40.0,-0.2596638422290416,5.391742882663257,12.667095712765004,1.1574320602074522,4.0,13.976881980895994,1
279.91709003856914,224.03296101974053,276.6934990407116,31.0,10.0,-0.30989554497944827,5.0141167640686035,4.813873088079216,1.534682720198039,4.0,13.208941459655762,1
254.3611650485437,219.37891843008646,251.0290337776786,34.0,10.0,-0.2703886687137263,5.0141167640686035,7.076616579234182,0.6872190647896403,4.0,13.208941459655763,1
276.45436893203873,149.1650994442397,274.5551606113471,24.0,40.0,-0.2339432077500419,5.261159896850586,13.382538370970382,0.45634592742595387,4.0,14.459595680236816,1
295.4506982311479,193.8015651962573,292.1762533401711,21.0,40.0,-0.2607912429803737,5.384580135345459,13.601330024554603,1.0033250613865088,4.0,13.976881980895996,1
432.775635057853,173.94758980356482,434.8149749678737,21.0,10.0,-0.36763853064194135,4.980801582336426,6.603865212578595,6.009663031446486,4.0,13.878148078918457,1
461.79624950126373,200.05377811627662,458.92274148491816,21.0,10.0,-0.3530815341899426,5.027198791503906,9.55231458653537,6.421616363931249,4.0,13.731599807739258,1
508.8721372522944,197.8515780265239,496.1027288315892,21.0,10.0,-0.2222672672906884,5.153832744857636,9.091869038367262,3.5995356096170315,4.0,13.878148078918457,1
485.4593695970209,208.08620863813854,483.2059426178941,21.0,10.0,-0.34020563662805264,5.317964553833008,4.781944684047521,1.4548617101188044,4.0,13.731599807739258,1
309.92568160659664,195.52384685710317,306.6703076709251,21.0,40.0,-0.2866596853317678,5.384580135345459,13.185391457387448,0.8955174784201185,4.0,13.976881980895996,1
580.1586647160527,197.75577690839026,577.5638555081035,21.0,10.0,-0.3342179329427955,5.0859246253967285,5.012192991313539,1.3952916284367685,4.0,13.878148078918457,1
545.002925921,180.68423556562675,544.8469585870739,31.0,10.0,-0.35013563790716473,4.97078800201416,5.676237150061111,3.690592875152775,4.0,13.878148078918457,1
360.4744247905307,221.2724941824745,362.7065047891045,31.0,10.0,-0.35209570435517556,5.154557228088379,7.859994010008231,5.076903498221931,4.0,14.040412902832031,1
341.8511238196569,226.38235821793745,339.839162125545,34.0,40.0,-0.26852306438849516,5.057789325714111,14.05165240012801,0.9451304683344154,6.0,14.040412902832031,1
264.52908631466954,146.4504505702503,263.6854294259556,24.0,40.0,-0.21937406895356987,5.261159896850586,14.693680834618586,0.9712016875573622,4.0,14.459595680236816,1
